model,params_millions,best_epoch,val_accuracy,val_macro_f1,val_ece,test_accuracy,test_macro_f1,test_weighted_f1,test_nll,test_brier,test_ece,train_time_min,speed_items_per_sec,avg_batch_time_sec,p95_batch_time_sec,checkpoint
BERT,109.48,3,0.9114001219264377,0.9112221579520129,0.0412059113325759,0.9072679153094463,0.9069936322854856,0.9071817847077067,0.2986323973995953,0.14763910285338458,0.04427741191589585,96.61,328.39,0.09744431160033855,0.11412689624994525,outputs_nli/checkpoints/bert_base_seed42.pt
CompactTransformer,10.01,8,0.8011583011583011,0.8000986276110383,0.03561692716532235,0.7928542345276873,0.7919110178920188,0.7925784421050391,0.5128874837928632,0.2909283337710357,0.04266930635448192,46.52,6031.0,0.00530592340005569,0.00620286025000496,outputs_nli/checkpoints/compact_base_seed42.pt
